iter	Logloss
0	0.6809968171
1	0.6682781198
2	0.6572418887
3	0.646680818
4	0.6376087056
5	0.6282145062
6	0.6182605114
7	0.6110600027
8	0.6028494953
9	0.5956557713
10	0.5888942517
11	0.5830696777
12	0.5771414503
13	0.5722810267
14	0.5660950305
15	0.5609472696
16	0.5551837808
17	0.5506988055
18	0.5461606902
19	0.5402700869
20	0.536753707
21	0.5326380117
22	0.5278090092
23	0.5242624161
24	0.5208368691
25	0.517380195
26	0.5139506107
27	0.5108507629
28	0.5075167142
29	0.5052948233
30	0.5017422019
31	0.4989989143
32	0.4968678856
33	0.4936990461
34	0.4916866775
35	0.4898135655
36	0.487995002
37	0.4861461974
38	0.4836915929
39	0.4809799785
40	0.4794097061
41	0.477364369
42	0.4752000241
43	0.4736028767
44	0.4721019506
45	0.4708884635
46	0.4697681398
47	0.4683472179
48	0.4668329538
49	0.4657525935
50	0.4642742783
51	0.4628399903
52	0.461607614
53	0.4608509006
54	0.4597422589
55	0.4587081231
56	0.4576991649
57	0.4563007506
58	0.4550536229
59	0.453817331
60	0.4526575726
61	0.4515688089
62	0.4504153074
63	0.4487944065
64	0.447740951
65	0.4464572074
66	0.4455560082
67	0.4451206455
68	0.4444438457
69	0.4436658936
70	0.4426203976
71	0.4416973526
72	0.4409547935
73	0.4399469822
74	0.4391481931
75	0.4385286287
76	0.4378391772
77	0.4370804134
78	0.4361465588
79	0.4352131711
80	0.4346432096
81	0.4340664465
82	0.4333435112
83	0.4324550839
84	0.4318468683
85	0.4310906076
86	0.4303736082
87	0.4298155428
88	0.4292542055
89	0.4285257133
90	0.4278047115
91	0.427119583
92	0.4264103124
93	0.4259065524
94	0.4254525575
95	0.4246488705
96	0.424038276
97	0.4236652674
98	0.4229750264
99	0.4224892325
100	0.4220900533
101	0.4216149765
102	0.4212533816
103	0.4209376721
104	0.4205098465
105	0.4194570846
106	0.418731264
107	0.4183434612
108	0.417666615
109	0.4173003235
110	0.4168848594
111	0.416345502
112	0.415846107
113	0.4153418514
114	0.414892649
115	0.4144958581
116	0.4140647546
117	0.4138093392
118	0.4133756902
119	0.4131763086
120	0.4127359531
121	0.4124603874
122	0.4121489117
123	0.4119125115
124	0.4116821245
125	0.4113777029
126	0.4109780563
127	0.4105221802
128	0.4101887617
129	0.4098714602
130	0.4094703487
131	0.4091227376
132	0.4088782312
133	0.4081821614
134	0.4076623584
135	0.4070557528
136	0.4067840672
137	0.4064793421
138	0.4060473885
139	0.4052500443
140	0.4050024913
141	0.4046690712
142	0.4044294501
143	0.4042084664
144	0.4038396552
145	0.4034922395
146	0.4031577103
147	0.402703825
148	0.4024245518
149	0.4021495459
150	0.4019226799
151	0.4016341973
152	0.401440507
153	0.40074779
154	0.4005037523
155	0.4003492334
156	0.4000413296
157	0.3997241798
158	0.3995500501
159	0.3991747158
160	0.3987695547
161	0.3986197734
162	0.3983720073
163	0.39808126
164	0.3978726758
165	0.3978220404
166	0.397603706
167	0.3972230659
168	0.3968771887
169	0.3966957861
170	0.3963057574
171	0.3961056993
172	0.3958742994
173	0.395661278
174	0.3952514159
175	0.3949784175
176	0.3945414417
177	0.3942393178
178	0.3940489705
179	0.3936745242
180	0.3935014478
181	0.3932803007
182	0.3929165725
183	0.3925481834
184	0.3922405555
185	0.3918785676
186	0.3916991026
187	0.3914768516
188	0.3912911691
189	0.3910510797
190	0.3908387694
191	0.3906847207
192	0.3905097629
193	0.3902819475
194	0.3900134813
195	0.3898576714
196	0.3896051761
197	0.3890048249
198	0.3888424332
199	0.3884363466
200	0.3882756561
201	0.3880186605
202	0.3875251729
203	0.3871228361
