iter	Passed	Remaining
0	4	4669
1	9	4619
2	12	4264
3	17	4279
4	20	4117
5	24	4009
6	26	3825
7	29	3690
8	32	3594
9	35	3515
10	38	3430
11	40	3356
12	44	3341
13	46	3301
14	49	3259
15	52	3221
16	55	3196
17	58	3176
18	60	3143
19	63	3122
20	66	3105
21	69	3080
22	72	3075
23	75	3070
24	78	3048
25	81	3039
26	84	3028
27	86	3018
28	89	3004
29	92	2991
30	95	2988
31	98	2990
32	102	3002
33	105	2994
34	108	2985
35	111	2980
36	114	2970
37	116	2959
38	119	2953
39	122	2950
40	125	2941
41	128	2938
42	131	2934
43	134	2931
44	137	2922
45	140	2915
46	143	2914
47	146	2909
48	149	2900
49	152	2893
50	155	2889
51	158	2882
52	161	2877
53	164	2874
54	167	2874
55	170	2869
56	173	2864
57	175	2857
58	179	2861
59	182	2857
60	185	2850
61	188	2847
62	191	2842
63	194	2840
64	197	2835
65	200	2835
66	203	2833
67	206	2833
68	209	2828
69	212	2824
70	215	2818
71	218	2817
72	221	2818
73	225	2818
74	228	2813
75	230	2807
76	233	2802
77	236	2796
78	239	2792
79	242	2788
80	245	2788
81	248	2787
82	251	2781
83	254	2778
84	257	2776
85	260	2772
86	263	2769
87	266	2766
88	269	2760
89	273	2760
90	275	2755
91	278	2752
92	282	2750
93	284	2746
94	288	2743
95	290	2738
96	293	2734
97	297	2733
98	300	2733
99	303	2730
100	306	2728
101	309	2722
102	312	2722
103	315	2721
104	319	2719
105	322	2717
106	325	2713
107	329	2717
108	332	2720
109	336	2720
110	340	2723
111	343	2724
112	347	2727
113	351	2727
114	354	2724
115	358	2731
116	361	2731
117	365	2734
118	369	2734
119	373	2735
120	376	2737
121	380	2740
122	384	2743
123	388	2746
124	392	2748
125	396	2747
126	400	2750
127	403	2750
128	408	2755
129	411	2755
130	415	2753
131	418	2753
132	424	2764
133	429	2773
134	433	2775
135	436	2773
136	440	2774
137	443	2770
138	447	2771
139	451	2771
140	454	2768
141	457	2766
142	462	2768
143	465	2766
144	468	2763
145	472	2762
146	476	2763
147	480	2765
148	483	2762
149	487	2760
150	490	2757
151	493	2755
152	497	2754
153	500	2751
154	504	2749
155	508	2752
156	512	2751
157	516	2750
158	520	2753
159	523	2748
160	526	2745
161	530	2742
162	534	2743
163	537	2740
164	540	2734
165	542	2723
166	545	2722
167	549	2718
168	552	2716
169	556	2717
170	559	2714
171	563	2712
172	566	2708
173	569	2704
174	573	2702
175	577	2701
176	580	2699
177	583	2696
178	587	2693
179	590	2690
180	593	2686
181	596	2682
182	599	2677
183	602	2673
184	605	2669
185	608	2664
186	612	2661
187	615	2658
188	618	2655
189	621	2650
190	625	2647
191	628	2646
192	632	2644
193	636	2642
194	639	2639
195	642	2636
196	645	2632
197	649	2630
198	652	2627
199	656	2624
200	659	2621
201	662	2618
202	665	2614
203	668	2610
204	671	2605
205	674	2600
206	677	2596
207	680	2592
208	684	2589
209	687	2585
210	690	2580
211	693	2578
212	696	2575
213	700	2571
214	703	2567
215	706	2564
216	709	2560
217	712	2555
218	715	2550
219	718	2545
220	720	2541
221	723	2536
222	726	2531
223	729	2528
224	733	2525
225	736	2521
226	739	2518
227	742	2513
228	745	2509
229	748	2506
230	752	2503
231	755	2500
232	759	2498
233	762	2495
234	765	2492
235	768	2488
236	771	2485
237	775	2481
238	778	2478
239	782	2476
240	785	2473
241	788	2470
242	792	2467
243	795	2464
244	798	2460
245	801	2455
246	804	2451
247	807	2447
248	810	2443
249	812	2438
250	815	2434
251	818	2429
252	821	2424
253	824	2420
254	826	2415
255	830	2412
256	833	2408
257	835	2404
258	838	2399
259	841	2396
260	844	2391
261	847	2388
262	850	2383
263	853	2379
264	857	2377
265	860	2374
266	863	2371
267	867	2369
268	870	2365
269	874	2363
270	877	2359
271	879	2355
272	883	2352
273	886	2349
274	889	2346
275	892	2342
276	896	2339
277	900	2338
278	904	2338
279	909	2339
280	913	2336
281	916	2333
282	920	2330
283	923	2328
284	927	2326
285	931	2324
286	934	2321
287	938	2320
288	942	2318
289	946	2317
290	950	2315
291	954	2314
292	958	2312
293	962	2312
294	967	2311
295	972	2313
296	976	2312
297	981	2312
298	985	2311
299	990	2310
300	994	2309
301	998	2307
302	1002	2307
303	1006	2305
304	1011	2305
305	1016	2304
306	1019	2301
307	1023	2299
308	1027	2297
309	1032	2298
310	1037	2297
311	1042	2297
312	1046	2296
313	1051	2296
314	1054	2293
315	1058	2290
316	1062	2288
317	1066	2286
318	1070	2284
319	1074	2282
320	1078	2281
321	1082	2278
322	1085	2276
323	1089	2273
324	1093	2272
325	1098	2270
326	1102	2268
327	1106	2266
328	1109	2263
329	1113	2261
330	1118	2261
331	1122	2258
332	1126	2255
333	1129	2252
334	1133	2250
335	1137	2248
336	1140	2244
337	1144	2241
338	1148	2238
339	1151	2235
340	1155	2232
341	1158	2228
342	1162	2226
343	1165	2222
344	1168	2217
345	1171	2214
346	1174	2211
347	1178	2207
348	1181	2204
349	1184	2200
350	1187	2196
351	1191	2193
352	1194	2188
353	1197	2184
354	1200	2181
355	1203	2177
356	1206	2172
357	1209	2168
358	1212	2164
359	1215	2160
360	1218	2156
361	1221	2153
362	1225	2150
363	1228	2146
364	1231	2141
365	1234	2138
366	1237	2134
367	1241	2131
368	1244	2128
369	1247	2123
370	1250	2120
371	1254	2116
372	1257	2113
373	1260	2109
374	1263	2105
375	1266	2101
376	1269	2098
377	1272	2093
378	1275	2089
379	1278	2085
380	1281	2081
381	1284	2077
382	1287	2074
383	1290	2070
384	1294	2067
385	1297	2064
386	1300	2060
387	1304	2057
388	1307	2054
389	1310	2050
390	1314	2046
391	1317	2043
392	1320	2039
393	1323	2036
394	1327	2032
395	1330	2029
396	1333	2025
397	1336	2022
398	1340	2018
399	1343	2014
400	1346	2011
401	1350	2008
402	1353	2004
403	1356	2000
404	1359	1997
405	1362	1994
406	1366	1990
407	1369	1986
408	1372	1982
409	1375	1978
410	1378	1975
411	1381	1972
412	1384	1968
413	1388	1965
414	1391	1961
415	1395	1958
416	1398	1955
417	1401	1951
418	1404	1948
419	1408	1944
420	1411	1941
421	1415	1938
422	1418	1935
423	1422	1932
424	1425	1928
425	1428	1925
426	1432	1921
427	1435	1918
428	1438	1914
429	1441	1911
430	1444	1907
431	1447	1903
432	1451	1900
433	1454	1897
434	1457	1893
435	1460	1889
436	1463	1885
437	1467	1882
438	1470	1879
439	1473	1875
440	1477	1872
441	1480	1868
442	1483	1865
443	1486	1861
444	1489	1857
445	1493	1854
446	1496	1850
447	1499	1847
448	1503	1845
449	1506	1841
450	1510	1838
451	1513	1834
452	1516	1831
453	1519	1827
454	1522	1824
455	1526	1820
456	1529	1817
457	1532	1813
458	1535	1809
459	1538	1806
460	1541	1802
461	1544	1798
462	1547	1795
463	1551	1791
464	1554	1788
465	1557	1785
466	1561	1782
467	1564	1778
468	1567	1774
469	1570	1771
470	1573	1767
471	1576	1763
472	1579	1760
473	1583	1756
474	1585	1752
475	1588	1749
476	1592	1745
477	1595	1742
478	1598	1738
479	1601	1735
480	1604	1731
481	1608	1728
482	1613	1727
483	1618	1725
484	1622	1723
485	1627	1720
486	1631	1718
487	1635	1715
488	1638	1712
489	1642	1709
490	1646	1706
491	1649	1703
492	1652	1699
493	1655	1695
494	1659	1692
495	1662	1689
496	1665	1685
497	1668	1681
498	1671	1678
499	1674	1674
500	1677	1670
501	1680	1666
502	1683	1663
503	1686	1659
504	1689	1656
505	1692	1652
506	1695	1648
507	1698	1644
508	1701	1640
509	1703	1637
510	1706	1633
511	1709	1629
512	1712	1625
513	1716	1622
514	1719	1618
515	1722	1615
516	1725	1611
517	1727	1607
518	1731	1604
519	1734	1600
520	1736	1596
521	1739	1592
522	1742	1589
523	1745	1585
524	1749	1582
525	1752	1578
526	1754	1575
527	1757	1571
528	1760	1567
529	1763	1563
530	1767	1560
531	1770	1557
532	1773	1553
533	1776	1550
534	1779	1546
535	1783	1543
536	1786	1540
537	1789	1537
538	1793	1533
539	1796	1529
540	1799	1526
541	1802	1523
542	1805	1519
543	1808	1516
544	1811	1512
545	1815	1509
546	1819	1506
547	1823	1503
548	1828	1501
549	1832	1498
550	1836	1496
551	1839	1492
552	1844	1490
553	1848	1488
554	1853	1486
555	1857	1483
556	1860	1479
557	1863	1476
558	1867	1473
559	1871	1470
560	1874	1466
561	1878	1463
562	1882	1460
563	1885	1457
564	1889	1454
565	1892	1450
566	1895	1447
567	1898	1443
568	1901	1440
569	1905	1437
570	1908	1433
571	1911	1430
572	1914	1426
573	1917	1423
574	1920	1419
575	1924	1416
576	1927	1412
577	1930	1409
578	1933	1406
579	1936	1402
580	1939	1399
581	1942	1395
582	1945	1391
583	1948	1388
584	1951	1384
585	1954	1380
586	1957	1377
587	1960	1373
588	1963	1370
589	1966	1366
590	1969	1362
591	1972	1359
592	1975	1355
593	1978	1352
594	1981	1348
595	1984	1345
596	1987	1341
597	1991	1338
598	1994	1335
599	1997	1331
600	2001	1328
601	2004	1325
602	2007	1321
603	2009	1317
604	2013	1314
605	2016	1310
606	2019	1307
607	2022	1303
608	2025	1300
609	2029	1297
610	2032	1294
611	2035	1290
612	2038	1286
613	2041	1283
614	2044	1280
615	2047	1276
616	2050	1273
617	2054	1269
618	2057	1266
619	2060	1262
620	2063	1259
621	2066	1255
622	2069	1252
623	2072	1248
624	2075	1245
625	2078	1241
626	2082	1238
627	2084	1235
628	2087	1231
629	2091	1228
630	2093	1224
631	2097	1221
632	2100	1217
633	2103	1214
634	2107	1211
635	2110	1207
636	2112	1204
637	2115	1200
638	2119	1197
639	2122	1193
640	2125	1190
641	2127	1186
642	2130	1183
643	2134	1179
644	2137	1176
645	2139	1172
646	2143	1169
647	2146	1166
648	2149	1162
649	2152	1159
650	2155	1155
651	2158	1152
652	2161	1148
653	2164	1145
654	2167	1141
655	2170	1138
656	2174	1134
657	2177	1131
658	2180	1128
659	2182	1124
660	2185	1121
661	2188	1117
662	2192	1114
663	2196	1111
664	2199	1108
665	2203	1104
666	2207	1101
667	2210	1098
668	2213	1095
669	2217	1091
670	2220	1088
671	2223	1085
672	2226	1081
673	2229	1078
674	2232	1075
675	2236	1072
676	2240	1068
677	2244	1065
678	2247	1062
679	2251	1059
680	2255	1056
681	2259	1053
682	2262	1049
683	2265	1046
684	2269	1043
685	2271	1039
686	2275	1036
687	2278	1033
688	2282	1030
689	2285	1026
690	2288	1023
691	2291	1019
692	2294	1016
693	2298	1013
694	2301	1009
695	2304	1006
696	2307	1003
697	2310	999
698	2314	996
699	2317	993
